EAN_ID;Patrimonium Type;Patrimonium Functietype;Meetmethode;Richting
1387;Gebouw;OCMW Woningen;Continu;Afname
1397;Gebouw;Werkplaats;Continu;Afname
695;Gebouw;Academie;Continu;Afname
340;Gebouw;Sporthal;Continu;Afname
703;;;Continu;Afname
344;;;Continu;Afname
165;Gebouw;Brandweerkazerne;Continu;Afname
1461;Gebouw;RVT/WZC/revalidatiecentrum;Continu;Afname
723;;;Continu;Afname
727;Gebouw;Andere gebouwen;Continu;Afname
356;Gebouw;Sporthal;Continu;Afname
1492;;;Continu;Afname
739;Gebouw;Stadhuis/Gemeentehuis;Continu;Afname
1504;;;Continu;Afname
8;Gebouw;Brandweerkazerne;Continu;Afname
1520;;;Continu;Afname
755;Gebouw;Stadhuis/Gemeentehuis;Continu;Afname
759;Gebouw;Sporthal;Continu;Afname
1548;;;Continu;Afname
1557;Gebouw;Stadhuis/Gemeentehuis;Continu;Afname
774;Gebouw;Andere gebouwen;Continu;Afname
778;Gebouw;Stadion;Continu;Afname
1583;Gebouw;Sporthal;Continu;Afname
787;Gebouw;Ontmoetingscentrum;Continu;Afname
1599;Gebouw;RVT/WZC/revalidatiecentrum;Continu;Afname
185;Gebouw;Sporthal;Continu;Afname
1615;Gebouw;Cultureel centrum;Continu;Afname
392;Gebouw;Stadhuis/Gemeentehuis;Continu;Afname
807;Gebouw;Politiegebouw;Continu;Afname
35;Gebouw;Ontmoetingscentrum;Continu;Afname
1647;Gebouw;Zwembad;Continu;Afname
819;Gebouw;Museum;Continu;Afname
1679;Gebouw;Andere gebouwen;Continu;Afname
1691;Gebouw;Politiegebouw;Continu;Afname
839;;;Continu;Afname
845;;;Continu;Afname
847;Gebouw;RVT/WZC/revalidatiecentrum;Continu;Afname
416;Gebouw;Sportcomplex;Continu;Afname
1727;Gebouw;RVT/WZC/revalidatiecentrum;Continu;Afname
863;;;Continu;Afname
875;Gebouw;Lagere school;Continu;Afname
316;Gebouw;Sporthal;Continu;Afname
771;Gebouw;Cultureel centrum;Continu;Afname
376;Gebouw;Zwembad;Continu;Afname
284;Gebouw;RVT/WZC/revalidatiecentrum;Continu;Afname
209;Gebouw;Ontmoetingscentrum;Continu;Afname
775;Gebouw;Zwembad;Continu;Afname
440;Gebouw;Stadhuis/Gemeentehuis;Continu;Afname
944;Gebouw;Bibliotheek;Continu;Afname
843;;;Continu;Afname
915;Gebouw;Sporthal;Continu;Afname
1225;;;Continu;Afname
217;Gebouw;Sporthal;Continu;Afname
1313;Gebouw;Sporthal;Continu;Afname
66;;;Continu;Afname
773;Gebouw;Administratief centrum;Continu;Afname
1379;Gebouw;Sportcomplex;Continu;Afname
462;Gebouw;Werkplaats;Continu;Afname
948;;;Continu;Afname
326;Gebouw;Werkplaats;Continu;Afname
225;;;Continu;Afname
1687;;;Continu;Afname
472;;;Continu;Afname
966;Gebouw;Cultureel centrum;Continu;Afname
973;Gebouw;Werkplaats;Continu;Afname
979;Gebouw;Zwembad;Continu;Afname
981;Gebouw;RVT/WZC/revalidatiecentrum;Continu;Afname
233;;;Continu;Afname
486;Gebouw;Cultureel centrum;Continu;Afname
488;Gebouw;Stadhuis/Gemeentehuis;Continu;Afname
997;;;Continu;Afname
1739;Gebouw;RVT/WZC/revalidatiecentrum;Continu;Afname
1203;Gebouw;Sporthal;Continu;Afname
1005;Gebouw;Sporthal;Continu;Afname
1012;Gebouw;Cultureel centrum;Continu;Afname
496;Gebouw;Werkplaats;Continu;Afname
1020;;;Continu;Afname
503;Gebouw;Brandweerkazerne;Continu;Afname
1028;;;Continu;Afname
1035;;;Continu;Afname
245;Gebouw;Andere gebouwen;Continu;Afname
511;;;Continu;Afname
513;Gebouw;Jeugdhuis;Continu;Afname
248;Gebouw;Algemene middelbare school;Continu;Afname
1052;Gebouw;Sportcomplex;Continu;Afname
1060;Gebouw;Lagere school;Continu;Afname
114;Gebouw;Stadhuis/Gemeentehuis;Continu;Afname
525;;;Continu;Afname
527;Gebouw;Academie;Continu;Afname
530;Gebouw;Ontmoetingscentrum;Continu;Afname
256;;;Continu;Afname
533;Gebouw;Stadhuis/Gemeentehuis;Continu;Afname
535;Gebouw;Technische middelbare school;Continu;Afname
537;Gebouw;Algemene middelbare school;Continu;Afname
121;;;Continu;Afname
1099;;;Continu;Afname
262;Gebouw;RVT/WZC/revalidatiecentrum;Continu;Afname
264;Gebouw;Administratief centrum;Continu;Afname
1115;Gebouw;Museum;Continu;Afname
1123;Gebouw;Sportcomplex;Continu;Afname
51;Gebouw;Zwembad;Continu;Afname
557;Gebouw;Administratief centrum;Continu;Afname
559;Gebouw;Stadhuis/Gemeentehuis;Continu;Afname
1139;Gebouw;Stadhuis/Gemeentehuis;Continu;Afname
272;Gebouw;Sporthal;Continu;Afname
1147;Gebouw;Werkplaats;Continu;Afname
274;Gebouw;Werkplaats;Continu;Afname
1155;Gebouw;Academie;Continu;Afname
129;Gebouw;Werkplaats;Continu;Afname
1165;Gebouw;Administratief centrum;Continu;Afname
278;Gebouw;Cultureel centrum;Continu;Afname
1171;Gebouw;Sportcomplex;Continu;Afname
280;Gebouw;Stadion;Continu;Afname
1179;Gebouw;Bibliotheek;Continu;Afname
583;Gebouw;Administratief centrum;Continu;Afname
1193;Gebouw;Sporthal;Continu;Afname
1195;;;Continu;Afname
1202;;;Continu;Afname
1207;;;Continu;Afname
1210;;;Continu;Afname
1221;Gebouw;Andere gebouwen;Continu;Afname
137;Gebouw;Bibliotheek;Continu;Afname
1229;Gebouw;Dienstencentrum/CAW/dagverblijf;Continu;Afname
609;Gebouw;Andere gebouwen;Continu;Afname
296;Gebouw;Lagere school;Continu;Afname
1245;Gebouw;Lagere school;Continu;Afname
615;;;Continu;Afname
617;Gebouw;Buitengewoon middelbaar onderwijs (BUSO);Continu;Afname
20;Gebouw;Sportcomplex;Continu;Afname
621;Gebouw;Werkplaats;Continu;Afname
623;Gebouw;Lagere school;Continu;Afname
629;Gebouw;Sportcomplex;Continu;Afname
306;Gebouw;Stadion;Continu;Afname
1291;Gebouw;Cultureel centrum;Continu;Afname
1293;;;Continu;Afname
1300;Gebouw;Algemene middelbare school;Continu;Afname
1301;;;Continu;Afname
1306;;;Continu;Afname
1312;Gebouw;Museum;Continu;Afname
1315;Gebouw;Dienstencentrum/CAW/dagverblijf;Continu;Afname
649;Gebouw;Algemene middelbare school;Continu;Afname
1324;Gebouw;Kleuterschool;Continu;Afname
653;Gebouw;Andere gebouwen;Continu;Afname
1335;Gebouw;Buitengewoon lager onderwijs (MPI);Continu;Afname
151;Gebouw;Cultureel centrum;Continu;Afname
661;Gebouw;Jeugdhuis;Continu;Afname
1348;;;Continu;Afname
323;Gebouw;Algemene middelbare school;Continu;Afname
1356;Gebouw;Kleuterschool;Continu;Afname
1360;Gebouw;Stadion;Continu;Afname
154;Gebouw;Lagere school;Continu;Afname
676;Gebouw;Lagere school;Continu;Afname
156;Gebouw;Stadhuis/Gemeentehuis;Continu;Afname
1384;Gebouw;Stadhuis/Gemeentehuis;Continu;Afname
1386;Gebouw;OCMW Administratief centrum;Continu;Afname
1389;;;Continu;Afname
687;Gebouw;Buitengewoon middelbaar onderwijs (BUSO);Continu;Afname
689;Gebouw;Zwembad;Continu;Afname
336;Gebouw;Lagere school;Continu;Afname
693;Gebouw;Kleuterschool;Continu;Afname
1413;;;Continu;Afname
161;Gebouw;Sporthal;Continu;Afname
1421;;;Continu;Afname
342;;;Continu;Afname
1429;Gebouw;Stadhuis/Gemeentehuis;Continu;Afname
163;Gebouw;Cultureel centrum;Continu;Afname
1437;Gebouw;Ontmoetingscentrum;Continu;Afname
711;Gebouw;Cultureel centrum;Continu;Afname
1447;Gebouw;Andere gebouwen;Continu;Afname
74;Gebouw;Sporthal;Continu;Afname
1453;Gebouw;Sportcomplex;Continu;Afname
1459;Gebouw;Administratief centrum;Continu;Afname
352;;;Continu;Afname
1468;Gebouw;Sporthal;Continu;Afname
1474;Gebouw;Lagere school;Continu;Afname
1478;Gebouw;Academie;Continu;Afname
169;Gebouw;Academie;Continu;Afname
1484;;;Continu;Afname
735;;;Continu;Afname
360;Gebouw;Cultureel centrum;Continu;Afname
1500;Gebouw;Cultureel centrum;Continu;Afname
743;;;Continu;Afname
1508;Gebouw;Sporthal;Continu;Afname
5;Andere;Kast;Continu;Afname
1516;Andere;Kast;Continu;Afname
751;Gebouw;Kleuterschool;Continu;Afname
1524;Andere;Kast;Continu;Afname
